Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
3:59 PM 2022-08-07,84.3 °F,64.1 °F,51 %,ESE,7.8 mph,9.5 mph,29.84 in,0.00 in,0.00 in,6,644.6 w/m² 
4:04 PM 2022-08-07,84.2 °F,63.8 °F,50 %,SE,9.8 mph,11.7 mph,29.84 in,0.00 in,0.00 in,5,599.1 w/m² 
4:09 PM 2022-08-07,84.0 °F,63.3 °F,50 %,SE,8.0 mph,9.9 mph,29.84 in,0.00 in,0.00 in,5,520.9 w/m² 
4:14 PM 2022-08-07,83.9 °F,62.3 °F,48 %,SE,10.9 mph,12.9 mph,29.84 in,0.00 in,0.00 in,5,518 w/m² 
4:19 PM 2022-08-07,83.9 °F,61.9 °F,47 %,ESE,9.2 mph,10.7 mph,29.83 in,0.00 in,0.00 in,5,528.7 w/m² 
4:24 PM 2022-08-07,83.8 °F,62.4 °F,49 %,ESE,7.7 mph,9.7 mph,29.84 in,0.00 in,0.00 in,5,555.7 w/m² 
4:29 PM 2022-08-07,83.8 °F,62.3 °F,48 %,SE,10.1 mph,11.7 mph,29.84 in,0.00 in,0.00 in,5,573.4 w/m² 
4:34 PM 2022-08-07,83.7 °F,62.3 °F,49 %,SE,7.0 mph,8.0 mph,29.84 in,0.00 in,0.00 in,5,551.7 w/m² 
4:39 PM 2022-08-07,83.8 °F,62.9 °F,49 %,ESE,7.6 mph,9.4 mph,29.84 in,0.00 in,0.00 in,5,525.7 w/m² 
4:44 PM 2022-08-07,84.3 °F,61.9 °F,47 %,SE,7.5 mph,9.5 mph,29.84 in,0.00 in,0.00 in,5,524 w/m² 
4:49 PM 2022-08-07,84.5 °F,61.7 °F,46 %,SE,8.3 mph,10.0 mph,29.85 in,0.00 in,0.00 in,4,495.8 w/m² 
4:54 PM 2022-08-07,84.4 °F,61.8 °F,47 %,ESE,7.8 mph,9.7 mph,29.86 in,0.00 in,0.00 in,4,432 w/m² 
4:59 PM 2022-08-07,84.4 °F,61.9 °F,47 %,SE,8.1 mph,9.6 mph,29.86 in,0.00 in,0.00 in,4,469.3 w/m² 
5:04 PM 2022-08-07,84.1 °F,61.7 °F,47 %,ESE,7.2 mph,9.0 mph,29.85 in,0.00 in,0.00 in,4,443.7 w/m² 
5:09 PM 2022-08-07,84.2 °F,61.9 °F,47 %,ESE,6.1 mph,7.4 mph,29.85 in,0.00 in,0.00 in,4,443.7 w/m² 
5:14 PM 2022-08-07,84.5 °F,62.2 °F,47 %,ESE,6.4 mph,7.6 mph,29.85 in,0.00 in,0.00 in,4,426.8 w/m² 
5:19 PM 2022-08-07,84.5 °F,61.9 °F,47 %,ESE,9.0 mph,11.3 mph,29.85 in,0.00 in,0.00 in,4,414.2 w/m² 
5:24 PM 2022-08-07,84.5 °F,61.6 °F,46 %,East,8.6 mph,10.4 mph,29.85 in,0.00 in,0.00 in,3,373.9 w/m² 
5:29 PM 2022-08-07,84.1 °F,61.4 °F,46 %,ESE,5.7 mph,6.6 mph,29.86 in,0.00 in,0.00 in,3,354.8 w/m² 
5:34 PM 2022-08-07,84.1 °F,61.4 °F,46 %,SE,9.1 mph,10.7 mph,29.85 in,0.00 in,0.00 in,3,346.1 w/m² 
5:39 PM 2022-08-07,84.3 °F,61.2 °F,46 %,SSE,5.2 mph,6.7 mph,29.85 in,0.00 in,0.00 in,3,322.2 w/m² 
5:44 PM 2022-08-07,84.5 °F,61.2 °F,46 %,SSE,5.4 mph,6.6 mph,29.85 in,0.00 in,0.00 in,2,298.4 w/m² 
5:49 PM 2022-08-07,84.5 °F,61.5 °F,46 %,ESE,9.1 mph,10.6 mph,29.85 in,0.00 in,0.00 in,2,269.4 w/m² 
5:54 PM 2022-08-07,84.1 °F,61.6 °F,47 %,East,5.7 mph,8.2 mph,29.84 in,0.00 in,0.00 in,2,236.8 w/m² 
5:59 PM 2022-08-07,84.4 °F,61.7 °F,47 %,ESE,6.5 mph,8.0 mph,29.84 in,0.00 in,0.00 in,2,217.8 w/m² 
6:04 PM 2022-08-07,84.3 °F,61.0 °F,46 %,South,5.1 mph,6.1 mph,29.84 in,0.00 in,0.00 in,1,137.5 w/m² 
6:09 PM 2022-08-07,84.1 °F,60.7 °F,45 %,ESE,1.6 mph,2.2 mph,29.84 in,0.00 in,0.00 in,1,126.1 w/m² 
6:14 PM 2022-08-07,84.0 °F,61.0 °F,46 %,ESE,4.3 mph,5.2 mph,29.84 in,0.00 in,0.00 in,1,130 w/m² 
6:19 PM 2022-08-07,84.1 °F,60.7 °F,45 %,SE,5.6 mph,6.8 mph,29.84 in,0.00 in,0.00 in,1,144.4 w/m² 
6:24 PM 2022-08-07,84.3 °F,60.3 °F,44 %,SE,5.5 mph,6.8 mph,29.84 in,0.00 in,0.00 in,1,130 w/m² 
6:29 PM 2022-08-07,84.0 °F,59.5 °F,44 %,SE,8.3 mph,9.4 mph,29.84 in,0.00 in,0.00 in,1,117.9 w/m² 
6:34 PM 2022-08-07,83.9 °F,59.8 °F,44 %,SSE,4.9 mph,6.6 mph,29.84 in,0.00 in,0.00 in,1,110.6 w/m² 
6:39 PM 2022-08-07,83.9 °F,60.0 °F,44 %,SSE,5.9 mph,7.5 mph,29.84 in,0.00 in,0.00 in,1,103.1 w/m² 
6:44 PM 2022-08-07,83.7 °F,59.8 °F,44 %,SSE,5.9 mph,7.3 mph,29.84 in,0.00 in,0.00 in,1,100.2 w/m² 
6:49 PM 2022-08-07,83.8 °F,59.9 °F,45 %,SE,4.4 mph,5.3 mph,29.85 in,0.00 in,0.00 in,0,94.6 w/m² 
6:54 PM 2022-08-07,83.8 °F,60.2 °F,45 %,SSE,4.7 mph,5.5 mph,29.85 in,0.00 in,0.00 in,0,93.6 w/m² 
6:59 PM 2022-08-07,83.7 °F,60.6 °F,46 %,ESE,6.8 mph,8.0 mph,29.85 in,0.00 in,0.00 in,0,94.1 w/m² 
7:04 PM 2022-08-07,83.5 °F,60.6 °F,46 %,SE,9.2 mph,10.3 mph,29.86 in,0.00 in,0.00 in,0,90.2 w/m² 
7:09 PM 2022-08-07,83.4 °F,60.5 °F,46 %,ESE,8.2 mph,9.6 mph,29.86 in,0.00 in,0.00 in,0,90.2 w/m² 
7:14 PM 2022-08-07,83.1 °F,60.3 °F,46 %,ESE,6.7 mph,8.1 mph,29.86 in,0.00 in,0.00 in,0,81.1 w/m² 
7:19 PM 2022-08-07,82.9 °F,60.1 °F,46 %,SE,5.8 mph,6.9 mph,29.86 in,0.00 in,0.00 in,0,70.2 w/m² 
7:23 PM 2022-08-07,82.9 °F,60.1 °F,46 %,SE,5.8 mph,6.9 mph,29.86 in,0.00 in,0.00 in,0,70.2 w/m² 
7:29 PM 2022-08-07,82.9 °F,60.1 °F,46 %,SSE,2.5 mph,3.4 mph,29.86 in,0.00 in,0.00 in,0,51.1 w/m² 
7:34 PM 2022-08-07,82.9 °F,60.1 °F,46 %,SSE,2.5 mph,3.4 mph,29.86 in,0.00 in,0.00 in,0,51.1 w/m² 
7:39 PM 2022-08-07,82.8 °F,60.8 °F,47 %,SE,4.1 mph,4.9 mph,29.86 in,0.00 in,0.00 in,0,51.1 w/m² 
7:44 PM 2022-08-07,82.8 °F,61.4 °F,48 %,SE,4.1 mph,4.5 mph,29.86 in,0.00 in,0.00 in,0,41.1 w/m² 
7:49 PM 2022-08-07,82.9 °F,61.6 °F,49 %,ESE,4.0 mph,4.4 mph,29.86 in,0.00 in,0.00 in,0,40.7 w/m² 
7:54 PM 2022-08-07,82.7 °F,61.1 °F,48 %,SE,6.0 mph,6.9 mph,29.86 in,0.00 in,0.00 in,0,38.2 w/m² 
7:59 PM 2022-08-07,82.5 °F,61.0 °F,48 %,SE,5.7 mph,6.6 mph,29.86 in,0.00 in,0.00 in,0,31.2 w/m² 
8:03 PM 2022-08-07,82.4 °F,60.8 °F,48 %,SE,4.9 mph,5.8 mph,29.86 in,0.00 in,0.00 in,0,25.6 w/m² 
8:09 PM 2022-08-07,82.4 °F,61.7 °F,50 %,East,2.5 mph,2.8 mph,29.86 in,0.00 in,0.00 in,0,25.6 w/m² 
8:14 PM 2022-08-07,82.3 °F,61.8 °F,50 %,East,2.5 mph,2.6 mph,29.86 in,0.00 in,0.00 in,0,20.8 w/m² 
8:19 PM 2022-08-07,82.1 °F,62.0 °F,51 %,ENE,2.5 mph,3.4 mph,29.87 in,0.00 in,0.00 in,0,15.5 w/m² 
8:24 PM 2022-08-07,82.0 °F,62.2 °F,51 %,NE,2.0 mph,3.4 mph,29.86 in,0.00 in,0.00 in,0,13.8 w/m² 
8:29 PM 2022-08-07,81.8 °F,61.7 °F,51 %,NE,1.1 mph,2.3 mph,29.87 in,0.00 in,0.00 in,0,13.8 w/m² 
8:34 PM 2022-08-07,81.8 °F,61.1 °F,49 %,ENE,0.3 mph,0.6 mph,29.87 in,0.00 in,0.00 in,0,6.5 w/m² 
8:39 PM 2022-08-07,81.9 °F,60.9 °F,49 %,ENE,1.2 mph,1.9 mph,29.88 in,0.00 in,0.00 in,0,2.9 w/m² 
8:44 PM 2022-08-07,82.2 °F,60.6 °F,48 %,East,1.1 mph,1.1 mph,29.87 in,0.00 in,0.00 in,0,1.7 w/m² 
8:49 PM 2022-08-07,82.2 °F,60.6 °F,48 %,East,1.1 mph,1.1 mph,29.88 in,0.00 in,0.00 in,0,1.7 w/m² 
8:54 PM 2022-08-07,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
8:59 PM 2022-08-07,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
9:04 PM 2022-08-07,80.6 °F,61.3 °F,52 %,NNE,1.2 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:09 PM 2022-08-07,80.6 °F,60.8 °F,51 %,NNE,1.6 mph,1.9 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:14 PM 2022-08-07,80.7 °F,60.4 °F,50 %,NNW,3.0 mph,4.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:19 PM 2022-08-07,80.6 °F,59.7 °F,49 %,NNE,2.9 mph,3.4 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:24 PM 2022-08-07,80.6 °F,59.7 °F,49 %,NNE,2.9 mph,3.4 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
9:29 PM 2022-08-07,80.1 °F,56.8 °F,45 %,NNE,5.6 mph,6.9 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:33 PM 2022-08-07,80.1 °F,56.8 °F,45 %,NNE,5.6 mph,6.9 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:39 PM 2022-08-07,80.1 °F,56.8 °F,45 %,NNE,5.6 mph,6.9 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
9:44 PM 2022-08-07,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
9:49 PM 2022-08-07,79.3 °F,56.0 °F,45 %,NNE,2.0 mph,2.8 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
9:54 PM 2022-08-07,79.3 °F,56.0 °F,45 %,NNE,2.8 mph,3.8 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
9:59 PM 2022-08-07,79.2 °F,56.1 °F,45 %,,2.2 mph,4.5 mph,29.88 in,0.00 in,0.00 in,0,0 w/m² 
10:04 PM 2022-08-07,79.2 °F,56.1 °F,45 %,,2.2 mph,4.5 mph,29.88 in,0.00 in,0.00 in,0,0 w/m² 
10:09 PM 2022-08-07,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
10:14 PM 2022-08-07,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
10:19 PM 2022-08-07,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
10:24 PM 2022-08-07,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
10:29 PM 2022-08-07,79.0 °F,55.9 °F,45 %,NNE,1.8 mph,3.4 mph,29.87 in,0.00 in,0.00 in,0,0 w/m² 
10:34 PM 2022-08-07,79.0 °F,55.4 °F,44 %,NNE,2.3 mph,3.4 mph,29.87 in,0.00 in,0.00 in,0,0 w/m² 
10:39 PM 2022-08-07,79.0 °F,55.2 °F,44 %,North,2.5 mph,3.4 mph,29.87 in,0.00 in,0.00 in,0,0 w/m² 
10:44 PM 2022-08-07,79.0 °F,55.2 °F,44 %,North,2.5 mph,3.4 mph,29.87 in,0.00 in,0.00 in,0,0 w/m² 
10:49 PM 2022-08-07,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
10:54 PM 2022-08-07,78.6 °F,55.6 °F,45 %,West,2.2 mph,2.2 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
10:59 PM 2022-08-07,78.8 °F,55.4 °F,45 %,West,1.6 mph,3.4 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
11:04 PM 2022-08-07,77.2 °F,58.6 °F,53 %,West,6.4 mph,10.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:09 PM 2022-08-07,75.1 °F,58.7 °F,57 %,WNW,5.2 mph,6.6 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:14 PM 2022-08-07,74.6 °F,59.0 °F,58 %,NW,4.5 mph,6.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:19 PM 2022-08-07,74.2 °F,59.0 °F,59 %,NW,3.6 mph,4.8 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:24 PM 2022-08-07,73.9 °F,59.1 °F,60 %,NW,4.2 mph,5.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:29 PM 2022-08-07,73.4 °F,59.2 °F,61 %,NW,8.5 mph,11.6 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:34 PM 2022-08-07,72.9 °F,59.1 °F,62 %,WNW,5.7 mph,7.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:39 PM 2022-08-07,72.9 °F,59.0 °F,62 %,NW,4.0 mph,5.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:44 PM 2022-08-07,72.9 °F,59.0 °F,62 %,NNW,3.3 mph,4.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:49 PM 2022-08-07,72.9 °F,59.0 °F,62 %,NNW,3.3 mph,4.7 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
11:54 PM 2022-08-07,72.9 °F,59.0 °F,62 %,NW,4.4 mph,6.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
11:59 PM 2022-08-07,72.8 °F,59.4 °F,63 %,NW,4.5 mph,6.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
12:04 AM 2022-08-08,72.7 °F,59.0 °F,62 %,NW,3.3 mph,4.8 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
12:09 AM 2022-08-08,72.8 °F,58.9 °F,62 %,WNW,5.1 mph,6.7 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
12:14 AM 2022-08-08,72.9 °F,59.0 °F,62 %,NW,4.7 mph,6.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:19 AM 2022-08-08,72.9 °F,59.0 °F,62 %,WNW,3.9 mph,4.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:24 AM 2022-08-08,72.9 °F,59.1 °F,62 %,WNW,3.9 mph,4.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:29 AM 2022-08-08,72.9 °F,59.3 °F,63 %,NW,3.7 mph,5.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:34 AM 2022-08-08,73.1 °F,59.3 °F,62 %,NW,2.8 mph,4.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:39 AM 2022-08-08,73.0 °F,59.2 °F,62 %,NNW,3.0 mph,4.6 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:44 AM 2022-08-08,73.0 °F,59.1 °F,62 %,NNW,2.1 mph,3.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:49 AM 2022-08-08,73.0 °F,59.2 °F,62 %,NW,1.7 mph,2.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:54 AM 2022-08-08,73.1 °F,58.9 °F,61 %,NNW,3.9 mph,5.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:59 AM 2022-08-08,73.3 °F,59.1 °F,61 %,NW,2.1 mph,2.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:04 AM 2022-08-08,73.4 °F,59.2 °F,61 %,NNW,1.0 mph,1.7 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:09 AM 2022-08-08,73.4 °F,59.2 °F,61 %,WNW,1.4 mph,2.4 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:14 AM 2022-08-08,73.3 °F,59.4 °F,62 %,WNW,2.9 mph,3.5 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
1:19 AM 2022-08-08,73.2 °F,59.4 °F,62 %,NNW,1.3 mph,1.7 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
1:24 AM 2022-08-08,73.1 °F,59.3 °F,62 %,WNW,1.9 mph,2.4 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
1:28 AM 2022-08-08,73.0 °F,59.5 °F,63 %,NW,1.4 mph,1.8 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
1:33 AM 2022-08-08,73.0 °F,59.5 °F,63 %,WNW,2.6 mph,3.1 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
1:39 AM 2022-08-08,72.9 °F,59.6 °F,63 %,NNW,1.5 mph,1.8 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
1:44 AM 2022-08-08,72.9 °F,59.5 °F,63 %,NNW,0.4 mph,0.7 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
1:49 AM 2022-08-08,72.8 °F,59.4 °F,63 %,North,0.8 mph,1.1 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
1:54 AM 2022-08-08,72.8 °F,59.1 °F,62 %,,1.2 mph,1.5 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
1:59 AM 2022-08-08,72.9 °F,59.0 °F,62 %,North,1.8 mph,2.2 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
2:04 AM 2022-08-08,72.9 °F,59.3 °F,63 %,North,1.2 mph,1.5 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
2:09 AM 2022-08-08,73.0 °F,59.7 °F,63 %,North,1.1 mph,1.1 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
2:14 AM 2022-08-08,73.0 °F,59.7 °F,63 %,North,1.1 mph,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:19 AM 2022-08-08,72.5 °F,60.1 °F,65 %,NNE,1.8 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:24 AM 2022-08-08,72.3 °F,59.9 °F,65 %,North,1.5 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:29 AM 2022-08-08,72.1 °F,59.7 °F,65 %,NNW,1.1 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:34 AM 2022-08-08,72.1 °F,59.7 °F,65 %,NNW,1.1 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:38 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
2:44 AM 2022-08-08,71.6 °F,61.3 °F,70 %,NE,1.8 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:48 AM 2022-08-08,71.6 °F,61.3 °F,70 %,NE,1.8 mph,2.2 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:54 AM 2022-08-08,71.6 °F,60.1 °F,67 %,NNE,0.7 mph,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
2:59 AM 2022-08-08,71.6 °F,60.1 °F,67 %,NNE,0.7 mph,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
3:03 AM 2022-08-08,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
3:08 AM 2022-08-08,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
3:14 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
3:19 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
3:24 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
3:29 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
3:34 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
3:39 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
3:44 AM 2022-08-08,72.5 °F,59.7 °F,64 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
3:49 AM 2022-08-08,72.5 °F,59.7 °F,64 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
3:54 AM 2022-08-08,72.5 °F,59.7 °F,64 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
3:59 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
4:04 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
4:09 AM 2022-08-08,72.0 °F,60.1 °F,66 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:14 AM 2022-08-08,72.0 °F,60.1 °F,66 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:18 AM 2022-08-08,72.0 °F,60.1 °F,66 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:24 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
4:29 AM 2022-08-08,--,--,--,North,--,--,29.88 in,--,--,, w/m² 
4:34 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
4:39 AM 2022-08-08,69.8 °F,59.5 °F,70 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:44 AM 2022-08-08,69.8 °F,59.5 °F,70 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:48 AM 2022-08-08,69.8 °F,59.5 °F,70 %,East,0.0 mph,0.0 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:54 AM 2022-08-08,71.8 °F,59.9 °F,66 %,ESE,1.1 mph,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
4:59 AM 2022-08-08,71.8 °F,59.9 °F,66 %,ESE,1.1 mph,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
5:04 AM 2022-08-08,71.8 °F,59.9 °F,66 %,ESE,1.1 mph,1.1 mph,29.89 in,0.00 in,0.00 in,0,0 w/m² 
5:09 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:14 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:19 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:23 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:29 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:34 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:39 AM 2022-08-08,--,--,--,North,--,--,29.90 in,--,--,, w/m² 
5:43 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:49 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:54 AM 2022-08-08,--,--,--,North,--,--,29.89 in,--,--,, w/m² 
5:59 AM 2022-08-08,--,--,--,North,--,--,29.90 in,--,--,, w/m² 
6:04 AM 2022-08-08,--,--,--,North,--,--,29.90 in,--,--,, w/m² 
6:09 AM 2022-08-08,69.4 °F,60.4 °F,73 %,ESE,0.0 mph,0.0 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
6:14 AM 2022-08-08,69.3 °F,60.3 °F,73 %,NNW,0.0 mph,0.0 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
6:19 AM 2022-08-08,69.3 °F,60.3 °F,73 %,NNW,0.0 mph,0.0 mph,29.90 in,0.00 in,0.00 in,0,0 w/m² 
6:24 AM 2022-08-08,68.8 °F,60.2 °F,74 %,North,0.0 mph,0.0 mph,29.90 in,0.00 in,0.00 in,0,3.4 w/m² 
6:29 AM 2022-08-08,67.8 °F,59.9 °F,76 %,North,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,3.4 w/m² 
6:34 AM 2022-08-08,68.3 °F,60.0 °F,75 %,North,0.1 mph,0.4 mph,29.91 in,0.00 in,0.00 in,0,6.5 w/m² 
6:39 AM 2022-08-08,68.5 °F,59.9 °F,74 %,North,0.0 mph,0.0 mph,29.90 in,0.00 in,0.00 in,0,6.5 w/m² 
6:44 AM 2022-08-08,69.5 °F,60.2 °F,72 %,North,0.7 mph,0.7 mph,29.91 in,0.00 in,0.00 in,0,9.5 w/m² 
6:49 AM 2022-08-08,70.0 °F,60.4 °F,72 %,North,0.0 mph,0.0 mph,29.91 in,0.00 in,0.00 in,0,12.1 w/m² 
6:54 AM 2022-08-08,69.7 °F,60.5 °F,73 %,North,0.1 mph,0.6 mph,29.91 in,0.00 in,0.00 in,0,16 w/m² 
6:59 AM 2022-08-08,69.3 °F,60.6 °F,74 %,North,0.2 mph,1.1 mph,29.91 in,0.00 in,0.00 in,0,16 w/m² 
7:04 AM 2022-08-08,70.2 °F,60.5 °F,72 %,North,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,21.7 w/m² 
7:09 AM 2022-08-08,70.7 °F,60.6 °F,71 %,,1.1 mph,1.2 mph,29.92 in,0.00 in,0.00 in,0,29.5 w/m² 
7:14 AM 2022-08-08,71.3 °F,60.7 °F,69 %,NNW,0.7 mph,1.1 mph,29.92 in,0.00 in,0.00 in,0,33.8 w/m² 
7:19 AM 2022-08-08,71.4 °F,60.8 °F,69 %,NNW,0.9 mph,1.1 mph,29.91 in,0.00 in,0.00 in,0,33.8 w/m² 
7:24 AM 2022-08-08,71.9 °F,60.9 °F,68 %,NNW,0.5 mph,0.6 mph,29.92 in,0.00 in,0.00 in,0,42 w/m² 
7:28 AM 2022-08-08,72.5 °F,60.9 °F,67 %,,0.0 mph,0.0 mph,29.92 in,0.00 in,0.00 in,0,61.5 w/m² 
7:34 AM 2022-08-08,73.1 °F,60.9 °F,66 %,NNW,1.1 mph,1.5 mph,29.92 in,0.00 in,0.00 in,0,71.1 w/m² 
7:39 AM 2022-08-08,74.1 °F,61.2 °F,64 %,NNE,1.3 mph,2.2 mph,29.92 in,0.00 in,0.00 in,0,71.1 w/m² 
7:44 AM 2022-08-08,74.5 °F,61.4 °F,63 %,NNE,2.3 mph,2.6 mph,29.92 in,0.00 in,0.00 in,0,89.3 w/m² 
7:49 AM 2022-08-08,74.9 °F,60.9 °F,62 %,NNE,1.3 mph,2.2 mph,29.91 in,0.00 in,0.00 in,0,96.3 w/m² 
7:54 AM 2022-08-08,75.1 °F,60.8 °F,61 %,NNE,1.3 mph,2.1 mph,29.91 in,0.00 in,0.00 in,1,122.7 w/m² 
7:59 AM 2022-08-08,75.3 °F,61.1 °F,61 %,NNE,1.6 mph,2.4 mph,29.92 in,0.00 in,0.00 in,1,124.1 w/m² 
